"wl","Sargassum","Fucus vesiculosus","Zostera marina","Sand (Dark)","Mud","Posidonia oceanica","coral","Sand (Bright)","Zostera noltei"
418,0.01017738812,0.029,0.043,0.191195697,0.054019537,0.027648552,0.050692,0.244833827224366,0.0365581041465621
419,0.01016042516,0.028445205479452,0.043,0.192086101,0.0544137383333333,0.027639918,0.050056,0.245609907331419,0.0366077689179786
420,0.01013936112,0.0282380952380953,0.043,0.1930462645,0.0548238583333333,0.027658484,0.04942,0.246404656537066,0.0366395421457556
421,0.01011309496,0.0289183673469388,0.043,0.194006428,0.055249897,0.027762428,0.049118,0.247273402094332,0.036651991158756
422,0.01008430888,0.0283972602739726,0.0423972602739726,0.194979638,0.0557017056666667,0.027726713,0.048816,0.248162287575329,0.0366932084929485
423,0.01005754968,0.028,0.042,0.196025595,0.0561622026666667,0.027670388,0.048514,0.249059047908342,0.0367420700128748
424,0.01003684508,0.028,0.042,0.197071552,0.056631388,0.027668598,0.048212,0.249850729834342,0.0367566835431349
425,0.010028484,0.0273537414965986,0.042,0.198113471,0.0571094853333333,0.027550877,0.04791,0.250668541577638,0.036783862812264
426,0.01003624432,0.027,0.042,0.199135728,0.0575872003333333,0.027509493,0.047796,0.251533818756706,0.0368274538623505
427,0.01005746076,0.027,0.0419931972789116,0.200157985,0.058064533,0.027570098,0.047682,0.252396778372762,0.0368358836800911
428,0.01008512672,0.027,0.041312925170068,0.201303229,0.0585337396666667,0.027547356,0.047568,0.253285348335196,0.0368666174419457
429,0.01011320044,0.027,0.041,0.2024384815,0.0589965213333333,0.027527097,0.047454,0.254180732960954,0.0369363797515515
430,0.01013238352,0.0269591836734694,0.041,0.203573734,0.059452878,0.027488814,0.04734,0.255136690074158,0.0369737687584399
431,0.0101350976,0.0262789115646259,0.041,0.204650015,0.0598960753333333,0.027356372,0.047702,0.256106998494476,0.0369997600488616
432,0.01011944476,0.0263986486486486,0.041,0.2057628035,0.0603338796666667,0.027331179,0.048064,0.257012275646333,0.0370809599952911
433,0.01008746376,0.0269256756756757,0.041,0.206875592,0.060766291,0.027326424,0.048426,0.257937698471342,0.0371231390177164
434,0.01004186228,0.02625,0.041,0.208188042,0.061192937,0.027277122,0.048788,0.25887926972766,0.0371217104849967
435,0.00998956308,0.026,0.0405743243243243,0.2092452795,0.061618967,0.027266997,0.04915,0.259756688972246,0.0371690874610818
436,0.00993742128,0.026,0.04,0.210302517,0.062044381,0.027290798,0.049712,0.260599544070201,0.0371981818308224
437,0.00989025224,0.026,0.04,0.211437315,0.062472649,0.027343061,0.050274,0.261441412538046,0.0371885623376539
438,0.00985298952,0.026,0.04,0.2126185595,0.0629034616666667,0.027371469,0.050836,0.262275634242428,0.0372393582320794
439,0.00982942276,0.026,0.04,0.213799804,0.063336819,0.027417986,0.051398,0.263114254216973,0.0373100330335855
440,0.00982098108,0.026,0.04,0.214887574,0.063775483,0.027484896,0.05196,0.263936990669798,0.037328989623219
441,0.00982793576,0.026,0.04,0.215981498,0.064215498,0.027579587,0.052248,0.264752023624566,0.0373846574009772
442,0.00985079384,0.026,0.04,0.217075422,0.064656864,0.027662664,0.052536,0.265578447064128,0.0374743384692589
443,0.0098873156,0.026,0.04,0.218079895,0.0650957453333333,0.027779547,0.052824,0.26640934177373,0.0375026618053028
444,0.00993444688,0.026,0.04,0.2191696245,0.065530341,0.027931197,0.053112,0.267220208561588,0.037544827887285
445,0.00998709504,0.0258456375838926,0.04,0.220259354,0.065960651,0.028078635,0.0534,0.26802369145567,0.0376432450228237
446,0.01004162484,0.0251744966442953,0.04,0.221282437,0.066377123,0.028242072,0.05368,0.268851615556776,0.0377423024215836
447,0.01009431192,0.025496644295302,0.04,0.222268,0.0667852483333333,0.028410552,0.05396,0.269674703705591,0.0378339309124674
448,0.01014316284,0.0258322147651007,0.04,0.223253563,0.067185027,0.028527377,0.05424,0.270495773858205,0.0379193480826738
449,0.01018761612,0.0251610738255034,0.04,0.224208578,0.0675669723333333,0.028716576,0.05452,0.271294377377764,0.0379987772781763
